rank,abbrv,country,eci_value,delta,year
36,GTM,Guatemala,0.3438546,1,1968
37,IND,India,0.3086714,6,1968
38,URY,Uruguay,0.3078713,-2,1968
39,MRT,Mauritania,0.2651038,20,1968
40,MEX,Mexico,0.2562347,0,1968
41,TUN,Tunisia,0.1253514,10,1968
42,CHL,Chile,0.1133607,-4,1968
43,ALB,Albania,0.1064773,-4,1968
44,TTO,Trinidad and Tobago,0.0997371,5,1968
45,NIC,Nicaragua,0.0781527,-4,1968
46,VNM,Viet Nam,-0.0209361,15,1968
47,ARG,Argentina,-0.0469358,-2,1968
48,EGY,Egypt,-0.053134,-6,1968
49,JAM,Jamaica,-0.1112607,6,1968
50,PAK,Pakistan,-0.1453632,-2,1968
51,HND,Honduras,-0.1520009,-5,1968
52,MAR,Morocco,-0.1838596,1,1968
53,SYR,Syrian Arab Republic,-0.1914552,4,1968
54,PHL,Philippines,-0.2228518,9,1968
55,ZAF,South Africa,-0.2305376,-5,1968
56,VEN,Venezuela,-0.2346848,-2,1968
57,COL,Colombia,-0.2694735,-10,1968
58,SEN,Senegal,-0.3439082,6,1968
59,DZA,Algeria,-0.4519821,6,1968
60,CUB,Cuba,-0.4578536,-8,1968
61,MNG,Mongolia,-0.5403571,-17,1968
62,TUR,Turkey,-0.5519421,4,1968
63,MYS,Malaysia,-0.5725652,-7,1968
64,BRA,Brazil,-0.6261739,-4,1968
65,PRY,Paraguay,-0.6775401,4,1968
66,LAO,Lao PDR,-0.6890236,18,1968
67,BOL,Bolivia,-0.6914465,4,1968
68,THA,Thailand,-0.6927989,17,1968
69,LBR,Liberia,-0.7143348,9,1968
70,KEN,Kenya,-0.7653177,-2,1968
71,IRN,Iran,-0.7703101,-1,1968
72,MOZ,Mozambique,-0.7992387,11,1968
73,CMR,Cameroon,-0.8187575,19,1968
74,PER,Peru,-0.8195576,-7,1968
75,MWI,Malawi,-0.8736396,-17,1968
76,MLI,Mali,-0.928781,-4,1968
77,MDG,Madagascar,-0.9940537,5,1968
78,COG,Congo,-0.9973894,3,1968
79,ECU,Ecuador,-1.014136,1,1968
80,LKA,Sri Lanka,-1.020064,15,1968
81,ETH,Ethiopia,-1.028392,7,1968
82,KWT,Kuwait,-1.02891,7,1968
83,MUS,Mauritius,-1.060374,-9,1968
84,DOM,Dominican Republic,-1.07765,-8,1968
85,SAU,Saudi Arabia,-1.077797,8,1968
86,GHA,Ghana,-1.085742,-9,1968
87,GIN,Guinea,-1.153201,-8,1968
88,CIV,Cote d'Ivoire,-1.164245,-2,1968
89,IDN,Indonesia,-1.183854,-2,1968
90,KHM,Cambodia,-1.191066,-17,1968
91,AGO,Angola,-1.231861,0,1968
92,PNG,Papua New Guinea,-1.251696,2,1968
93,TZA,Tanzania,-1.251808,-3,1968
94,SDN,Sudan,-1.279982,3,1968
95,OMN,Oman,-1.29621,-33,1968
96,ZMB,Zambia,-1.433472,-21,1968
97,GAB,Gabon,-1.486213,2,1968
98,UGA,Uganda,-1.594174,-2,1968
99,NGA,Nigeria,-1.640266,-1,1968
100,QAT,Qatar,-2.647304,0,1968
100,LBY,Libya,-2.647304,0,1968
1,GBR,United Kingdom,2.137063,3,1969
2,SWE,Sweden,2.121701,1,1969
3,JPN,Japan,2.096694,-2,1969
4,AUT,Austria,2.082453,1,1969
5,CHE,Switzerland,2.073483,-3,1969
6,ITA,Italy,1.962469,1,1969
7,USA,United States,1.915148,-1,1969
8,FRA,France,1.908757,0,1969
9,FIN,Finland,1.718128,0,1969
10,BEL,Belgium,1.7114,1,1969
11,NOR,Norway,1.638064,-1,1969
12,NLD,Netherlands,1.559906,1,1969
13,DNK,Denmark,1.519761,-1,1969
14,ZWE,Zimbabwe,1.518528,1,1969
15,HKG,Hong Kong,1.490719,-1,1969
16,HUN,Hungary,1.287755,0,1969
17,ESP,Spain,1.217671,7,1969
18,PRT,Portugal,1.177414,2,1969
19,PAN,Panama,1.155885,-2,1969
20,IRL,Ireland,1.151735,-2,1969
21,POL,Poland,1.116682,-2,1969
22,CAN,Canada,1.070292,-1,1969
23,KOR,"Korea, Rep.",1.054447,-1,1969
24,ISR,Israel,1.004637,3,1969
25,BGR,Bulgaria,0.9665226,4,1969
26,ROU,Romania,0.9648407,-3,1969
27,JOR,Jordan,0.9241806,-1,1969
28,LBN,Lebanon,0.9113748,-3,1969
29,SLV,El Salvador,0.7789662,1,1969
30,CHN,China,0.7303446,-2,1969
31,ARE,United Arab Emirates,0.7186601,0,1969
32,CRI,Costa Rica,0.6764302,-1,1969
33,GRC,Greece,0.6187145,2,1969
34,MEX,Mexico,0.4536522,6,1969
35,URY,Uruguay,0.4229049,3,1969
36,SGP,Singapore,0.3582705,-4,1969
37,GTM,Guatemala,0.3316945,-1,1969
38,IND,India,0.3054774,-1,1969
39,NZL,New Zealand,0.2996128,-5,1969
40,AUS,Australia,0.2827814,-7,1969
41,CHL,Chile,0.1913916,1,1969
42,NIC,Nicaragua,0.1163175,3,1969
43,ARG,Argentina,0.0774583,4,1969
44,TUN,Tunisia,0.0474432,-3,1969
45,VEN,Venezuela,0.0198536,11,1969
46,EGY,Egypt,0.0188433,2,1969
47,MRT,Mauritania,-0.0040624,-8,1969
48,ALB,Albania,-0.0078696,-5,1969
49,COL,Colombia,-0.0633694,8,1969
50,PAK,Pakistan,-0.0706111,0,1969
51,TTO,Trinidad and Tobago,-0.0939665,-7,1969
52,JAM,Jamaica,-0.2069108,-3,1969
53,MAR,Morocco,-0.2110934,-1,1969
54,ZAF,South Africa,-0.2389589,1,1969
55,HND,Honduras,-0.2418407,-4,1969
56,MNG,Mongolia,-0.2739224,5,1969
57,DZA,Algeria,-0.2918977,2,1969
58,SYR,Syrian Arab Republic,-0.31881,-5,1969
59,VNM,Viet Nam,-0.3340715,-13,1969
60,PHL,Philippines,-0.3871673,-6,1969
61,KWT,Kuwait,-0.4009598,21,1969
62,TUR,Turkey,-0.4136983,0,1969
63,SEN,Senegal,-0.4571505,-5,1969
64,MLI,Mali,-0.5558403,12,1969
65,MWI,Malawi,-0.5805435,10,1969
66,PER,Peru,-0.6505044,8,1969
67,CUB,Cuba,-0.7087023,-7,1969
68,THA,Thailand,-0.7178637,0,1969
69,SAU,Saudi Arabia,-0.7435201,16,1969
70,BRA,Brazil,-0.7470748,-6,1969
71,QAT,Qatar,-0.7545878,29,1969
72,OMN,Oman,-0.7747833,23,1969
73,IRN,Iran,-0.7918165,-2,1969
74,MYS,Malaysia,-0.8334072,-11,1969
75,KEN,Kenya,-0.8456524,-5,1969
76,PRY,Paraguay,-0.8542979,-11,1969
77,DOM,Dominican Republic,-0.9252232,7,1969
78,ETH,Ethiopia,-0.9425255,3,1969
79,MOZ,Mozambique,-0.9462596,-7,1969
80,CMR,Cameroon,-0.9783301,-7,1969
81,MUS,Mauritius,-0.9941299,2,1969
82,LAO,Lao PDR,-1.006476,-16,1969
83,COG,Congo,-1.062958,-5,1969
84,KHM,Cambodia,-1.083288,6,1969
85,MDG,Madagascar,-1.084264,-8,1969
86,BOL,Bolivia,-1.130766,-19,1969
87,LBR,Liberia,-1.176181,-18,1969
88,GIN,Guinea,-1.177975,-1,1969
89,ZMB,Zambia,-1.203541,7,1969
90,LKA,Sri Lanka,-1.24234,-10,1969
91,GHA,Ghana,-1.254339,-5,1969
92,IDN,Indonesia,-1.261067,-3,1969
93,ECU,Ecuador,-1.383742,-14,1969
94,TZA,Tanzania,-1.38419,-1,1969
95,AGO,Angola,-1.465264,-4,1969
96,CIV,Cote d'Ivoire,-1.513257,-8,1969
97,GAB,Gabon,-1.601283,0,1969
98,PNG,Papua New Guinea,-1.605656,-6,1969
99,UGA,Uganda,-1.677759,-1,1969
100,SDN,Sudan,-1.704447,-6,1969
101,NGA,Nigeria,-2.007435,-2,1969
102,LBY,Libya,-2.518881,-2,1969
1,SWE,Sweden,2.146157,1,1970
2,GBR,United Kingdom,2.13158,-1,1970
3,JPN,Japan,2.123506,0,1970
